PLoS_One_ID	AGI	length	DM
At_F0113	AT2G02320.1	308	AO_FBX|6.8e-08|39-83
At_F0113	AT2G02320.1	308	F-box|2.4e-07|40-84
At_F0113	AT2G02320.1	308	PP2|2.2e-40|130-298
At_F0114	AT5G56370.1	422	AO_FBX|7.5e-13|2-43
At_F0114	AT5G56370.1	422	F-box|2.5e-08|3-40
At_F0114	AT5G56370.1	422	LRR_2|2.2e-08|151-175
At_F0114	AT5G56370.1	422	FBD|5.9e-12|335-380
At_F0115	AT1G76920.1	375	AO_FBX|3.8e-08|5-49
At_F0115	AT1G76920.1	375	F-box|3e-08|6-45
At_F0115	AT1G76920.1	375	Kelch_2|0.033|105-150
At_F0115	AT1G76920.1	375	Kelch_2|0.00015|257-306
At_F0116	AT2G44700.1	369	AO_FBX|8.4e-08|25-73
At_F0116	AT2G44700.1	369	F-box|2.3e-07|27-70
At_F0116	AT2G44700.1	369	Kelch_1|7.7e-06|166-205
At_F0117	AT4G29970.1	284	AO_FBX|1.8e-07|11-53
At_F0117	AT4G29970.1	284	F-box|3.7e-08|13-52
At_F0117	AT4G29970.1	284	dCache_1|0.13|144-236
At_F0117	AT4G29970.1	284	FBA_3|9.4e-17|153-220
At_F0118	AT5G38670.1	292	AO_FBX|6.3e-09|9-53
At_F0118	AT5G38670.1	292	F-box|1.5e-07|10-52
At_F0118	AT5G38670.1	292	Kelch_2|1.9e-07|81-123
At_F0118	AT5G38670.1	292	Kelch_1|0.25|191-212
At_F0119	AT3G26922.2	307	AO_FBX|5.2e-14|13-60
At_F0119	AT3G26922.2	307	F-box|3.1e-08|15-51
At_F0119	AT3G26922.2	307	LRR_2|9.7e-07|162-187
At_F0120	AT3G49030.1	444	AO_FBX|8.6e-13|20-65
At_F0120	AT3G49030.1	444	F-box|1.2e-07|22-61
At_F0120	AT3G49030.1	444	LRR_2|2e-05|171-196
At_F0120	AT3G49030.1	444	FBD|2e-17|361-406
At_F0121	AT1G60570.1	382	AO_FBX|4.1e-10|19-67
At_F0121	AT1G60570.1	382	F-box-like|1.8e-07|22-64
At_F0121	AT1G60570.1	382	Kelch_1|2.5e-05|118-156
At_F0121	AT1G60570.1	382	Glyoxal_oxid_N|0.015|118-242
At_F0121	AT1G60570.1	382	Kelch_1|3.1e-10|161-201
At_F0122	AT1G69630.1	452	AO_FBX|8.7e-13|18-60
At_F0122	AT1G69630.1	452	F-box|3.1e-09|19-57
At_F0122	AT1G69630.1	452	LRR_2|0.0029|168-193
At_F0122	AT1G69630.1	452	FBD|7.6e-14|378-419
