	agi	group	Publications	EST	cDNA	Intron	Total_TDNA	TDNA_100upstream	TDNA_First_half_intron	TDNA_First_half_exon	TDNA_Last_half_intron	TDNA_Last_half_exon	kaks	ks	neutral	cdms_rate	fbxd_evalue	fbxd_str	fbxd_end	length	Kelch	FBA	LRR	FBD	fbx_exp_mean	fbx_exp_median	fbx_exp_max	fbx_exp_cv
At_F0510	AT1G55000	3	3	62	5	1	0	0	0	0	0	0	0.2495	0.4162	0	0.900900901	8.50E-06	9	37	222	0	0	0	0	41.42124277	40.6	581.5	0.499845089
At_F0620	AT5G18680	3	4	48	5	4	7	0	2	3	1	1	0.1532	0.4486	0	0.256410256	2.00E-08	39	83	390	0	0	0	0	35.23921666	35.2	816.6	0.502375563
At_F0529	AT4G15475	2	5	40	4	7	11	2	3	6	0	0	0.1741	0.5092	0	1.145662848	3.30E-08	4	51	611	0	0	6	0	21.40882998	22	334.5	0.503667621
At_F0548	AT1G25280	3	8	0	0	3	5	0	0	3	1	1	0.1492	0.4504	0	0.224215247	4.80E-09	56	101	446	0	0	0	0	33.47830377	33.6	1415.4	0.508292299
At_F0556	AT1G55590	3	4	45	6	3	10	1	0	5	0	4	0.1151	0.1237	0	0.164473684	0.00035	10	48	608	0	0	1	0	18.39950169	18.5	407.5	0.511710162
At_F0194	AT3G06240	3	3	29	5	0	4	1	0	0	0	3	0.5282	0.2078	0	0.23364486	9.60E-11	35	78	428	0	1	0	0	15.88859378	15.6	380.6	0.513034289
At_F0304	AT5G67250	2	9	49	5	0	7	0	0	6	0	1	0.2217	0.3579	0	0.189393939	7.70E-08	45	82	528	0	0	1	0	29.3080576	28.8	596.2	0.513258977
At_F0623	AT2G17030	3	4	6	3	1	13	0	0	5	2	6	0.308	0.3744	0	0.245098039	2.10E-08	3	49	408	0	0	0	0	13.36534283	13.3	178.3	0.515385031
At_F0225	AT3G50080	2	8	12	2	0	13	2	0	7	0	4	0.25	0.4392	0	0.382409178	6.50E-10	38	74	523	0	0	2	0	16.95460933	17.1	215.8	0.516757636
At_F0190	AT5G15710	3	2	14	2	0	2	0	0	2	0	0	0.1141	0.4265	0	0.445434298	3.30E-07	104	145	449	1	0	0	0	9.996586606	10	237.8	0.520839124
At_F0538	AT3G48880	1	1	3	0	2	12	0	0	0	0	12	0.1733	0.5184	0	0.322580645	4.00E-06	11	59	310	0	0	1	0	28.04692545	28	945.2	0.522820119
At_F0591	AT5G46170	3	4	25	3	0	7	4	0	3	0	0	0.1125	0.6912	0	0	4.10E-06	28	62	396	0	0	0	0	23.53407415	23.8	559.3	0.523547295
At_F0086	AT3G16740	2	4	47	3	0	8	1	0	2	0	5	0.502	0.2603	0	0.255102041	4.00E-10	3	49	392	0	1	0	0	18.64984553	18.6	264.9	0.524119403
At_F0409	AT3G12350	3	2	68	9	1	4	1	0	0	0	3	0.2354	0.6155	0	0	9.50E-06	9	53	423	0	0	0	0	25.05519235	24.9	826.1	0.525827249
At_F0001	AT1G21760	2	8	104	6	9	16	1	5	1	8	1	0.1242	0.5423	0	0	8.40E-14	61	107	329	0	0	0	0	31.46454555	31.5	856.5	0.528517171
At_F0653	AT1G53320	3	11	90	6	3	13	1	7	4	0	1	0.1044	0.623	0	0.263157895	1.90E-08	41	91	380	0	0	0	0	48.32710783	46.5	1548.2	0.532125055
At_F0647	AT3G07550	3	3	22	4	0	4	0	0	4	0	0	0.235	0.5164	0	0.757575758	5.40E-07	14	62	396	0	0	3	0	12.47692346	12.3	286.2	0.532975538
At_F0700	AT5G15440	2	2	40	2	1	0	0	0	0	0	0	0.0969	0.5141	0	0	0.00013	16	65	294	0	0	0	0	25.13304265	25.5	648.5	0.536313862
At_F0451	AT2G44900	2	10	7	0	10	17	0	0	9	3	5	0.1636	0.3017	0	0.859291085	4.90E-05	47	93	931	0	0	0	0	15.39147897	15.9	372.9	0.536778485
At_F0427	AT2G29910	3	2	23	8	1	1	1	0	0	0	0	0.6219	0.3531	0	0.265251989	5.60E-05	30	64	377	0	0	1	0	13.26519334	13.4	147.1	0.537774949
At_F0684	AT2G18280	2	16	254	5	3	2	0	0	0	0	2	0.2089	0.5032	0	0.253164557	5.20E-08	45	91	395	0	0	0	0	63.23684473	60.1	510.3	0.538273531
At_F0443	AT1G47056	2	5	7	0	0	10	1	0	9	0	0	0.1702	0.7055	0	0.385356455	6.80E-07	38	70	519	0	0	2	0	16.77418278	16.3	270.8	0.539116391
At_F0027	AT4G39560	3	3	22	3	0	7	5	0	0	0	2	0.5367	0.2317	0	0.74906367	2.40E-10	25	72	267	2	0	0	0	11.97225434	11.8	296	0.539365313
At_F0205	AT3G06570	3	4	17	2	0	10	2	0	4	0	4	0.9433	0.1874	1	0.511508951	1.00E-10	23	70	391	2	0	0	0	15.41191449	15	153.8	0.542930564
At_F0563	AT3G54650	1	15	29	3	9	11	0	1	1	4	5	0.2495	0.5256	0	0.336700337	1.10E-05	142	166	594	0	0	2	0	24.66039466	24.65	307.7	0.547755488
At_F0220	AT5G42350	1	3	16	3	0	10	0	0	6	0	4	0.1399	0.1284	0	0.531914894	7.00E-08	135	171	564	2	0	0	0	12.80572553	12.7	294.9	0.549706143
At_F0544	AT3G53000	3	5	16	1	2	10	2	0	4	3	1	0.1	0.6568	0	0.332225914	0.035	21	65	301	0	0	0	0	17.90218258	16.9	324.7	0.557989729
At_F0665	AT5G01720	1	8	43	4	7	29	1	10	15	0	3	0.3122	0.2611	0	0.45045045	0.38	19	48	666	0	0	3	0	21.92841339	20.9	183	0.560577299
At_F0460	AT3G54460	3	6	22	4	7	23	3	2	14	2	2	0.3317	0.4288	0	0.290065265	3.60E-07	281	321	1379	0	0	0	0	17.5460285	17.3	86.6	0.561039199
At_F0664	AT1G06110	3	4	48	6	4	3	0	0	2	0	1	0.2715	0.4692	0	0.457665904	0.0045	10	48	437	0	0	0	0	31.62212976	31.1	443.3	0.562938677
At_F0496	AT1G64840	3	2	8	2	0	7	0	0	3	0	4	0.4154	0.3422	0	0.519480519	9.00E-05	3	39	385	0	0	0	0	15.36187463	15.3	244.2	0.565434347
At_F0687	AT1G67340	3	7	55	9	2	16	2	2	6	0	6	0.1759	0.6689	0	0.526315789	3.30E-05	42	94	380	0	0	0	0	24.51092785	23.8	326.8	0.572095675
At_F0102	AT5G49610	3	3	29	3	0	6	0	0	4	0	2	0.1867	0.531	0	0	1.00E-10	10	49	360	0	0	0	0	9.9225882	10	213.7	0.57236941
At_F0357	AT1G51550	3	3	27	7	1	21	5	0	11	0	5	0.245	0.5806	0	1.252609603	3.50E-07	18	66	479	6	0	0	0	12.52948973	11.7	182.7	0.573404601
At_F0557	AT3G63220	3	2	32	4	0	12	2	0	2	0	8	0.1412	0.7355	0	0.849858357	0.0029	13	52	353	3	0	0	0	14.27974885	13.5	173.3	0.57428581
At_F0438	AT1G06630	3	3	44	3	4	16	0	1	8	4	3	0.6508	0.3386	0	0.209205021	8.10E-05	16	49	478	0	0	1	0	20.62599661	20.5	830.6	0.575386502
At_F0710	AT2G01620	3	3	45	3	2	21	1	0	11	2	7	0.376	0.5113	0	0	3.20E-05	17	59	293	0	0	0	0	31.32877716	31.5	353.8	0.575498328
At_F0310	AT5G22730	3	1	20	0	2	6	0	0	1	0	5	0.5495	0.2334	0	0.428265525	4.50E-10	28	72	467	0	0	1	1	11.93849412	11.9	371	0.579395268
At_F0520	AT1G16250	3	1	13	3	2	3	1	0	2	0	0	0.1802	0.6096	0	0.78125	1.30E-05	7	48	384	3	0	0	0	12.43985449	12	327.5	0.585079337
At_F0602	AT1G67190	3	1	7	2	0	3	0	0	0	0	3	0.0989	0.4963	0	0.238095238	8.00E-07	2	39	420	0	0	1	0	14.24795196	14.2	226.4	0.586254275
At_F0676	AT2G42620	1	80	17	1	0	18	2	0	8	0	8	0.2239	0.5381	0	0.144092219	0.00018	4	47	694	0	0	0	0	26.41260714	24.9	842.6	0.587293441
At_F0542	AT2G18915	1	29	51	4	1	16	0	11	5	0	0	0.1466	0.517	0	1.14379085	7.90E-06	200	244	612	6	0	0	0	19.21571656	18.4	313	0.590242583
At_F0469	AT1G70590	3	5	19	2	3	13	2	0	1	8	2	0.2232	0.5632	0	1.136363636	4.60E-06	58	101	352	0	0	0	0	22.52784533	21.2	391.4	0.59735738
At_F0058	AT5G22700	3	3	14	1	2	15	0	0	4	0	11	0.6237	0.4286	0	0.421052632	5.80E-08	44	80	475	0	0	1	1	17.63070062	17.9	166.5	0.603186092
At_F0326	AT1G49360	3	2	15	6	4	2	0	0	0	0	2	0.5577	0.4272	0	0.414937759	4.30E-06	111	152	482	0	0	0	0	14.71258222	14.2	268.7	0.604300389
At_F0364	AT1G13570	3	3	18	3	2	3	1	0	0	0	2	0.2451	0.5177	0	0.479616307	1.80E-05	8	40	417	0	0	1	1	16.37408312	15.6	202	0.609929384
At_F0534	AT5G63520	3	2	16	2	9	18	2	2	8	3	3	0.4288	0.4428	0	0.188679245	3.30E-07	33	69	530	0	0	0	0	11.50891469	11.9	265.9	0.610100171
At_F0187	AT3G58900	3	3	11	3	0	4	0	0	3	0	1	0.5362	0.4274	0	0.429184549	5.10E-12	2	49	466	0	0	1	1	12.01247259	11.8	453.8	0.612670095
At_F0152	AT5G48990	3	2	14	2	0	5	4	0	0	0	1	0.8127	0.147	1	0.536193029	2.80E-08	18	60	373	2	0	0	0	9.412168627	9.1	112.8	0.615105808
At_F0234	AT4G24210	1	14	55	5	0	1	0	0	0	0	1	0.1566	0.3102	0	0.657894737	9.70E-07	32	76	152	0	0	0	0	27.0033237	25.4	1095.1	0.615896294
At_F0695	AT3G20270	2	4	23	4	9	13	0	1	1	3	8	0.4019	0.2658	0	0.553250346	0.68	25	59	723	0	0	0	0	8.355650787	8.3	49.5	0.618851659
At_F0475	AT2G24250	3	2	9	3	0	0	0	0	0	0	0	0.6593	0.1862	1	0.266666667	8.20E-09	13	59	375	0	0	0	0	5.223056608	5.1	64.8	0.626407756
At_F0495	AT4G18380	3	1	46	4	0	8	0	0	8	0	0	0.1411	0.3733	0	0	1.00E-07	22	70	381	0	0	0	0	19.5575593	19.1	508.4	0.626691499
At_F0541	AT5G39250	3	3	18	2	0	2	2	0	0	0	0	0.1401	0.7394	0	0	5.50E-09	5	43	253	0	0	0	0	9.639550528	9.3	143.5	0.627588671
At_F0081	AT2G04230	3	2	37	5	3	4	2	0	2	0	0	0.5666	0.1923	0	0.445434298	2.70E-14	8	59	449	0	0	1	1	16.0795296	16.2	306.2	0.635784717
At_F0323	AT5G56180	2	6	17	5	11	17	0	5	2	6	4	0.2724	0.3941	0	0.211864407	4.70E-07	44	83	472	0	0	0	0	22.69547538	22.4	984.7	0.635960374
At_F0502	AT2G40920	3	1	42	6	1	10	1	1	1	0	7	0.5779	0.1646	0	0.457665904	3.40E-08	52	95	437	0	1	0	0	16.12315627	16.9	69.7	0.637436681
At_F0125	AT3G18910	1	3	10	3	0	6	4	0	2	0	0	0.8371	0.1261	1	0.514138817	6.40E-10	7	44	389	0	1	0	0	11.52856289	10.7	297.4	0.639920877
At_F0545	AT5G35995	4	0	13	3	2	7	0	0	7	0	0	0.4491	0.4083	0	0.219298246	5.20E-09	4	43	456	0	0	1	0	14.0816773	14.6	727.9	0.641722681
At_F0558	AT4G10925	3	2	29	4	2	6	1	2	1	1	1	0.1817	0.4725	0	0.431034483	0.21	35	82	232	0	0	0	0	19.03814531	17.6	264.1	0.643100178
At_F0365	AT2G32560	3	4	44	6	4	9	0	0	8	0	1	0.2475	0.1553	0	0	1.50E-05	60	105	372	0	0	0	0	30.90168926	29.9	434.1	0.643125749
At_F0334	AT5G03100	3	1	2	3	1	13	2	0	5	3	3	0.6111	0.3839	0	0.324675325	2.00E-11	9	50	308	0	0	1	0	7.249337253	6.9	89.2	0.644801097
At_F0604	AT5G07670	3	1	12	3	1	7	0	0	3	0	4	0.3959	0.3528	0	0	0.0036	65	95	477	0	0	0	0	16.13345127	16.2	856.5	0.648321369
At_F0657	AT5G51370	4	0	3	3	1	7	1	0	6	0	0	0.2691	0.2514	0	0.223713647	0.0033	34	61	447	0	0	1	0	8.099596372	7.6	200.6	0.658045322
At_F0182	AT5G26960	3	2	16	2	0	21	4	0	10	0	7	0.1368	0.9426	0	1.207729469	7.30E-08	43	85	414	3	0	0	0	18.85874028	17.5	462.7	0.659368936
At_F0052	AT5G02910	3	2	6	3	2	10	2	0	2	2	4	0.3562	0.4443	0	0.435729847	3.40E-16	10	58	459	0	0	1	0	10.18584313	10	251.6	0.66262252
At_F0388	AT2G26030	3	2	21	6	2	1	0	0	0	0	1	0.3757	0.4152	0	0.446428571	1.10E-07	3	45	448	0	0	1	1	13.02268786	12.9	664.1	0.663238168
At_F0320	AT3G59000	3	2	5	2	2	1	0	0	1	0	0	0.4955	0.3367	0	0.406504065	5.30E-06	6	38	492	0	0	1	1	7.024352203	6.9	119.3	0.66406124
At_F0445	AT1G55270	1	4	42	2	1	7	1	2	2	0	2	0.0613	0.7903	0	0.459770115	3.30E-09	78	123	435	2	0	0	0	18.50337851	20.5	829.3	0.665291459
At_F0065	AT5G56420	3	1	7	4	2	4	0	0	3	0	1	0.3633	0.4523	0	0.472813239	2.20E-11	5	49	423	0	0	1	1	9.92126769	9.7	412.5	0.66947989
At_F0440	AT4G10400	3	1	14	4	2	6	1	0	5	0	0	0.8477	0.2219	1	0.731707317	6.10E-10	2	39	410	0	0	1	1	8.361371337	8.1	69.3	0.669960787
At_F0276	AT2G02360	2	6	23	2	2	13	5	1	3	0	4	0.4865	0.1633	0	0.366300366	7.60E-06	13	57	273	0	0	0	0	25.49610325	23.4	289.5	0.674273843
At_F0509	AT1G74510	3	1	19	3	0	7	0	0	2	0	5	0.2261	0.6129	0	0.663716814	0.05	99	140	452	3	0	0	0	23.2157066	22.9	815.7	0.67592048
At_F0442	AT5G25350	1	22	101	2	1	6	0	2	1	0	3	0.227	0.6399	0	0.480769231	8.20E-10	53	92	624	0	0	3	0	52.46894559	46.7	1989.6	0.680841765
At_F0519	AT2G16365	2	7	87	5	3	35	0	5	6	15	9	1.2106	0.0808	1	0	5.00E-06	469	506	779	0	0	0	0	40.53374028	39	874.1	0.684162561
At_F0678	AT2G02870	3	6	105	4	0	0	0	0	0	0	0	0.126	0.4377	0	0.641025641	0.11	113	163	468	3	0	0	0	24.94875922	24.1	616.8	0.684710967
At_F0230	AT3G24760	3	2	18	0	0	11	1	0	3	0	7	0.2566	0.5314	0	0.260416667	8.20E-08	12	52	384	1	0	0	0	13.74362667	13.3	212.9	0.685832347
At_F0214	AT4G05460	2	8	57	2	1	3	0	2	1	0	0	0.3188	0.4489	0	0.330033003	5.20E-10	19	64	303	0	0	1	0	19.26753538	18	1014.8	0.698353459
At_F0531	AT1G63090	3	13	37	6	2	9	1	0	5	0	3	0.2259	0.3296	0	0.344827586	0.035	25	60	290	0	0	0	0	32.28311242	28.1	368.4	0.703724489
At_F0590	AT5G03970	3	4	21	2	0	4	1	0	2	0	1	0.2793	0.6009	0	0	0.0015	25	63	419	0	0	0	0	14.95571058	13.6	370.9	0.704564813
At_F0109	AT3G17710	3	3	11	2	0	17	3	0	0	0	14	0.5783	0.1941	0	0.54200542	5.30E-09	6	46	369	0	1	0	0	8.58554415	7.9	336.5	0.709050421
At_F0634	AT1G31350	3	8	25	3	0	7	4	0	2	0	1	0.2719	0.584	0	1.157407407	0.15	91	107	432	3	0	0	0	18.63986944	16.1	224	0.715912207
At_F0446	AT1G57790	3	3	10	3	0	6	0	0	3	0	3	0.4156	0.5968	0	0.566572238	7.10E-09	11	51	353	0	0	0	0	9.028772175	8.8	252.2	0.71778583
At_F0115	AT1G76920	3	7	66	8	0	12	1	0	5	0	6	0.0881	0.7697	0	0.533333333	3.00E-08	6	45	375	2	0	0	0	30.95122583	29.1	1786.1	0.718698554
At_F0486	AT5G18770	3	1	12	3	3	7	1	1	4	0	1	0.5774	0.233	0	0.414937759	5.40E-09	24	66	482	0	0	1	1	8.880142515	8	149.1	0.724578051
At_F0391	AT4G27050	3	3	55	5	2	10	0	0	6	0	4	0.4542	0.4793	0	0.220264317	5.20E-06	5	40	454	0	0	1	0	19.34659657	17	227.4	0.726636855
At_F0016	AT3G61590	2	12	26	4	0	16	0	0	7	0	9	0.1266	0.6419	0	0.223214286	3.50E-10	77	120	448	1	0	0	0	10.8758521	10.2	168	0.729083606
At_F0302	AT4G07400	2	6	3	0	0	11	0	0	7	0	4	0.2344	0.627	0	0.18018018	4.90E-11	71	107	555	0	0	1	0	6.365631852	5.9	170.5	0.730628679
At_F0033	AT4G19870	3	3	20	5	0	10	5	0	2	0	3	0.6605	0.1358	0	0.498753117	9.90E-09	28	70	401	2	0	0	0	11.51312039	10.4	353.8	0.73070148
At_F0609	AT4G00755	3	2	49	6	4	1	0	0	0	0	1	0.4166	0.4376	0	0	3.90E-06	13	50	378	0	0	0	0	22.57881702	23.2	1187.4	0.736891858
At_F0278	AT3G59150	3	3	15	4	2	14	2	0	6	0	6	0.5406	0.3221	0	0	7.90E-11	9	60	476	0	0	0	0	10.14836057	9.5	239.5	0.738836268
At_F0437	AT3G61350	3	4	15	3	1	5	0	1	0	0	4	0.3145	0.5614	0	0.835654596	3.90E-06	22	60	359	3	0	0	0	9.051285629	8.9	359.7	0.740410977
At_F0631	AT3G19470	3	1	7	2	0	9	2	0	4	0	3	0.6761	0.1225	0	0.261096606	6.40E-05	3	45	383	0	1	0	0	6.051061391	5.5	119.2	0.742982017
At_F0477	AT2G21950	3	6	60	5	0	7	1	0	0	0	6	0.3354	0.515	0	0.536193029	3.40E-05	21	63	373	2	0	0	0	30.46087801	30.1	2545.7	0.751749372
At_F0514	AT1G12710	3	5	17	4	2	14	0	2	10	1	1	0.1854	0.3173	0	0.598802395	0.0077	27	70	334	0	0	0	0	18.21906518	15.6	509.5	0.757495177
At_F0527	AT1G70360	4	0	2	0	1	3	0	0	2	0	1	0.4399	0.3827	0	0.571428571	6.90E-06	138	172	175	0	0	0	0	8.930506279	8.6	448	0.75780168
At_F0422	AT5G56380	3	2	6	1	2	7	1	0	2	0	4	0.4798	0.7601	0	0.454545455	5.10E-08	2	49	440	0	0	1	1	12.2032938	11.6	247.1	0.762384705
At_F0426	AT1G13780	3	2	11	3	3	19	6	0	2	2	9	0.5705	0.1851	0	0.437636761	7.70E-05	11	48	457	0	0	1	1	8.552880207	8.2	266	0.767564203
At_F0211	AT5G45360	2	4	83	6	7	6	1	1	1	1	2	0.2458	0.6378	0	0.315457413	2.70E-08	73	119	317	0	0	0	0	40.80207794	40.2	3664.5	0.770803715
At_F0669	AT4G24390	1	11	63	3	2	7	1	0	4	0	2	0.1871	0.3072	0	0.320512821	0.0041	56	85	624	0	0	0	0	14.83852402	14.7	406.7	0.773550928
At_F0337	AT1G16930	4	0	3	0	2	7	0	0	0	0	7	0.4011	0.4378	0	0.444444444	7.20E-11	14	61	450	0	0	1	1	8.493870839	7.4	108	0.774405951
At_F0068	AT5G43190	3	8	30	4	0	8	0	0	4	0	4	0.3069	0.5262	0	0.247524752	9.10E-11	48	87	404	1	0	0	0	25.08171716	21.8	503.4	0.775755896
At_F0123	AT3G57580	3	3	6	4	0	6	3	0	1	0	2	0.7016	0.1278	0	0.244498778	6.90E-08	9	50	409	0	1	0	0	5.2388529	4.9	261.1	0.778454263
At_F0279	AT3G59210	3	1	12	2	2	3	0	0	2	0	1	0.5227	0.4143	0	0.618556701	4.10E-05	9	42	485	0	0	1	0	18.01262208	17.1	699.3	0.779122965
At_F0407	AT3G58940	3	1	8	0	4	7	0	1	2	0	4	0.5658	0.3464	0	0.484652666	7.80E-11	2	49	619	0	0	1	1	5.724312338	5.4	103.6	0.782410694
At_F0350	AT3G03040	3	3	4	0	2	9	0	0	9	0	0	0.6172	0.2903	0	0.422832981	5.10E-09	2	49	473	0	0	1	1	19.09748854	19.1	1293.5	0.784914404
At_F0155	AT2G44630	3	3	4	2	0	16	0	0	4	0	12	0.5079	0.53	0	0.536193029	9.60E-09	21	69	373	2	0	0	0	3.117540363	2.8	42.5	0.791323713
At_F0403	AT1G78730	3	2	8	2	3	9	0	4	2	0	3	0.6034	0.2278	0	0.475059382	7.40E-09	23	63	421	0	0	1	1	5.907310146	5.8	199.8	0.791585259
At_F0584	AT1G78280	3	4	114	1	15	11	0	4	4	3	0	0.242	0.4934	0	0.211864407	0.0034	16	61	944	0	0	0	0	20.93771178	18.9	545.6	0.796915777
At_F0273	AT3G57590	3	3	6	1	0	18	7	0	5	0	6	0.4727	0.232	0	0.24691358	9.90E-08	5	44	405	0	1	0	0	10.27156667	9.4	732.4	0.809370259
At_F0108	AT5G52880	3	1	15	6	5	6	0	5	1	0	0	0.3724	0.5223	0	0.37037037	2.00E-09	112	156	270	0	0	0	0	18.98219055	19.6	1742.3	0.816343052
At_F0132	AT4G39550	3	3	15	2	0	16	1	0	2	0	13	0.4284	0.3105	0	0.763358779	8.60E-07	25	68	393	2	0	0	0	7.921616504	6.6	176	0.821961641
At_F0508	AT1G21410	1	9	27	4	3	6	0	0	0	1	5	0.1503	0.2706	0	1.108033241	6.60E-07	28	62	361	0	0	4	0	21.5548236	18.4	580.1	0.830833627
At_F0649	AT5G06550	3	4	10	4	1	5	2	0	2	0	1	0.1808	0.4679	0	0.198807157	0.061	83	126	503	0	0	0	0	14.42458142	12.3	660.6	0.836971458
At_F0347	AT1G47340	3	4	23	3	1	4	1	2	1	0	0	0.5119	0.2219	0	0.652173913	2.20E-06	36	69	460	0	1	0	0	9.175199322	7.8	229.4	0.840452694
At_F0011	AT5G42460	3	1	12	3	0	49	1	0	46	0	2	0.53	0.1061	0	0.257069409	3.80E-11	4	48	389	0	1	0	0	8.066309548	7.2	332.9	0.849045855
At_F0559	AT4G21510	3	2	12	2	2	10	6	0	2	1	1	0.3731	0.8551	0	0.442477876	0.044	126	158	226	0	0	0	0	8.271825792	6.9	246.2	0.861399846
